SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
INFY,4911190.33,8607462,75.26
INGERRAND,8979.0,4148,-53.8
INNOVACAP,23866.67,9020,-62.21
INNOVANA,27216.89,12331,-54.69
INTENTECH,34576.67,16623,-51.92
INTERNET,182866.67,23514,-87.14
INTLCONV,147163.33,61225,-58.4
IOLCP,699035.0,1340580,91.78
IPCALAB,109955.89,313976,185.55
IPL,167978.3,451324,168.68
IRB,3057270.3,5264170,72.19
IREDA,3817830.5,1623501,-57.48
IRFC,3563312.0,6708203,88.26
ISFT,13449.9,4498,-66.56
IT,746511.0,267241,-64.2
ITBEES,4868097.4,14230318,192.32
ITDC,6801.1,2921,-57.05
ITETF,426347.2,885460,107.69
ITETFADD,39799.6,91844,130.77
ITI,85121.7,132504,55.66
ITIETF,875795.5,2427321,177.16
IVP,5459.7,23419,328.94
IXIGO,3466512.1,893991,-74.21
JAGRAN,154053.8,59613,-61.3
JAYNECOIND,6687017.2,93744637,1301.89
JAYSREETEA,35980.5,12681,-64.76
JBMA,97435.4,606145,522.1
JETFREIGHT,43997.4,21811,-50.43
JGCHEM,253858.8,89989,-64.55
JHS,54494.6,105929,94.38
JINDALSTEL,671774.5,1700554,153.14
JISLJALEQS,1013895.5,2033062,100.52
JKIL,80398.3,34908,-56.58
JLHL,49041.7,22295,-54.54
JMFINANCIL,1948712.5,2948875,51.32
JNKINDIA,97703.7,40409,-58.64
JPOLYINVST,2099.1,3972,89.22
JPPOWER,78325728.7,20674018,-73.61
JSFB,105962.5,410121,287.04
JTLIND,1724864.1,2757118,59.85
JUBLCPL,5334.6,12140,127.57
JYOTHYLAB,199208.5,71130,-64.29
KABRAEXTRU,39901.38,14755,-63.02
KAKATCEM,7931.7,3774,-52.42
KALAMANDIR,459017.1,1266660,175.95
KALPATARU,221405.4,60067,-72.87
KALYANKJIL,1228234.1,1890578,53.93
KAMATHOTEL,28585.3,46128,61.37
KANSAINER,80303.8,201863,151.37
KCP,234933.3,115180,-50.97
KDDL,7743.0,27248,251.9
KINGFA,3383.0,5651,67.04
KIOCL,99265.7,443415,346.7
KIRLOSIND,5308.6,1999,-62.34
KIRLPNU,125385.7,61603,-50.87
KKCL,24302.6,9657,-60.26
KMEW,27847.8,8130,-70.81
KOLTEPATIL,53210.0,120702,126.84
KOTHARIPET,27433.3,71954,162.29
KPIL,159803.9,73791,-53.82
KRBL,316829.4,125872,-60.27
KRISHANA,116630.5,274635,135.47
KSL,23632.7,8449,-64.25
KSOLVES,60330.6,22378,-62.91
LALPATHLAB,80161.4,120415,50.22
LAOPALA,56782.7,107913,90.05
LAURUSLABS,636017.6,1277563,100.87
LAXMICOT,14635.8,6119,-58.19
LAXMIDENTL,152156.5,72985,-52.03
LEMONTREE,2196141.9,593976,-72.95
LGBBROSLTD,17104.6,7188,-57.98
LIBAS,23017.4,42244,83.53
LICHSGFIN,1052691.9,410022,-61.05
LICNETFGSC,29065.3,9348,-67.84
LICNETFSEN,79.11,34,-57.02
LICNFNHGP,638.1,70,-89.03
LIQUIDETF,154643.4,63465,-58.96
LIQUIDPLUS,74152.1,27857,-62.43
LIQUIDSHRI,14454.9,6198,-57.12
LLOYDSENT,1757429.2,523220,-70.23
LMW,3818.7,1651,-56.77
LODHA,1474421.4,460193,-68.79
LOKESHMACH,52000.7,18111,-65.17
LOWVOL,2521.8,16721,563.06
LOWVOL1,104862.2,18048,-82.79
LPDC,18255.5,6033,-66.95
LTTS,51776.3,21613,-58.26
LUMAXTECH,49068.5,154671,215.21
LUPIN,673691.0,306301,-54.53
LXCHEM,236867.7,924711,290.39
M&MFIN,1414195.7,2402647,69.89
MADRASFERT,56416.8,123881,119.58
MAFANG,225562.8,93797,-58.42
MAGNUM,62811.2,10828,-82.76
MAHEPC,116269.0,26322,-77.36
MAHESHWARI,14255.8,4877,-65.79
MAHLIFE,151386.2,34281,-77.36
MAHLOG,235376.9,112071,-52.39
MAITHANALL,15137.8,32855,117.04
MALLCOM,8122.6,14597,79.71
MALUPAPER,11488.2,3956,-65.56
MAMATA,767270.3,374715,-51.16
MANAKALUCO,130378.7,271945,108.58
MANAKCOAT,160911.9,939306,483.74
MANAKSIA,68411.8,104693,53.03
MANBA,26642.6,11291,-57.62
MANCREDIT,8298.7,21270,156.31
MANGLMCEM,18117.8,5860,-67.66
MANYAVAR,102856.6,47722,-53.6
MAPMYINDIA,92086.0,25804,-71.98
MARKSANS,443520.3,1216837,174.36
MASTERTR,74552.0,596480,700.09
MATRIMONY,8327.8,2534,-69.57
MAWANASUG,36633.6,14019,-61.73
MCLOUD,4060127.9,871636,-78.53
MEDIASSIST,248285.1,29380,-88.17
MEDICO,86848.4,171593,97.58
MENONBE,18426.0,46213,150.8
METAL,291250.5,810877,178.41
METROBRAND,30712.5,183008,495.87
MGEL,1555806.7,467972,-69.92
MGL,211013.0,510366,141.86
MHRIL,67740.2,319399,371.51
MICEL,489190.1,167732,-65.71
MID150,14157.5,5342,-62.27
MID150CASE,521452.5,807021,54.76
MIDCAPETF,2916976.9,709964,-75.66
MIDCAPIETF,615886.7,290673,-52.8
MIDHANI,309456.6,113442,-63.34
MIDQ50ADD,2640.4,6187,134.32
MIDSELIETF,114132.2,175943,54.16
MINDACORP,146425.7,44595,-69.54
MIRCELECTR,1117573.6,404277,-63.83
MITTAL,638577.2,2114843,231.18
MMP,14551.8,6025,-58.6
MOALPHA50,5585.7,1171,-79.04
MODEFENCE,1555197.7,709818,-54.36
MODISONLTD,79362.7,26302,-66.86
MOGSEC,79229.8,2971,-96.25
MOHEALTH,28021.1,44131,57.49
