SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
ITIETF,665085.2,1614146,142.7
IVP,12774.0,19298,51.07
IXIGO,19591277.3,4374809,-77.67
JAGRAN,265917.5,132203,-50.28
JAGSNPHARM,1261365.8,608519,-51.76
JAIBALAJI,1015565.8,258914,-74.51
JAICORPLTD,530438.6,2498892,371.1
JAIPURKURT,26901.6,6473,-75.94
JAMNAAUTO,902673.6,445500,-50.65
JASH,207767.8,92155,-55.65
JAYBARMARU,53996.3,86322,59.87
JAYNECOIND,112130911.5,184406717,64.46
JCHAC,27542.2,7167,-73.98
JETFREIGHT,59667.1,24684,-58.63
JHS,76170.5,748077,882.11
JINDALPOLY,38628.8,12608,-67.36
JINDRILL,113619.0,1101511,869.48
JIOFIN,16485436.5,49292436,199.01
JKCEMENT,100929.2,44132,-56.27
JKLAKSHMI,291464.6,99513,-65.86
JLHL,31003.7,11509,-62.88
JSL,770884.2,1174268,52.33
JSWINFRA,2106933.5,948230,-54.99
JSWSTEEL,1665959.9,3144726,88.76
JTLIND,3378550.9,1065222,-68.47
JUBLCPL,22496.2,6631,-70.52
JUBLINGREA,351141.7,1374167,291.34
JUNIPER,58154.4,110870,90.65
JYOTICNC,389370.3,109833,-71.79
KABRAEXTRU,32902.0,12570,-61.8
KAJARIACER,735169.8,5426576,638.14
KAKATCEM,16969.0,2533,-85.07
KALAMANDIR,2973897.8,890013,-70.07
KALPATARU,213158.4,86509,-59.42
KAMATHOTEL,74917.2,377067,403.31
KAMDHENU,633922.7,2547227,301.82
KAYNES,271659.8,3889665,1331.81
KCP,445155.5,127449,-71.37
KELLTONTEC,9276002.3,4409027,-52.47
KHANDSE,174157.9,9831,-94.36
KICL,1352.4,2263,67.33
KIMS,608624.8,257226,-57.74
KINGFA,12304.4,19153,55.66
KIOCL,2056233.0,171690,-91.65
KIRLOSBROS,130330.6,366938,181.54
KIRLOSENG,248667.5,91555,-63.18
KOTARISUG,34935.3,96361,175.83
KPIL,208497.1,417284,100.14
KPITTECH,969637.2,1955639,101.69
KPRMILL,329632.2,634954,92.62
KRBL,636765.7,252552,-60.34
KRISHANA,315059.0,633255,101.0
KRITIKA,140258.9,336923,140.22
KRITINUT,19835.7,4167,-78.99
KSB,91304.0,30966,-66.08
KSCL,120476.6,57321,-52.42
KSL,62286.3,249891,301.2
KSOLVES,249111.6,35823,-85.62
KUANTUM,65481.2,26544,-59.46
LALPATHLAB,110978.2,271004,144.2
LANDMARK,36754.8,16011,-56.44
LATENTVIEW,898975.1,127775,-85.79
LATTEYS,81705.1,126310,54.59
LAXMICOT,44786.5,11572,-74.16
LAXMIDENTL,295503.5,94889,-67.89
LEXUS,8591.5,34250,298.65
LFIC,2958.8,6964,135.37
LICMFGOLD,2084.9,4506,116.13
LICNETFN50,960.4,252,-73.76
LICNFNHGP,688.1,75,-89.1
LINCOLN,20327.0,31446,54.7
LIQGRWBEES,2932.5,5624,91.78
LIQUID,113718.9,215504,89.51
LIQUID1,387306.3,621784,60.54
LIQUIDBEES,2733586.1,6094319,122.94
LIQUIDCASE,7842616.9,11934453,52.17
LIQUIDETF,108464.5,206470,90.36
LIQUIDIETF,623021.2,1425816,128.86
LIQUIDSBI,5216.2,16745,221.02
LIQUIDSHRI,21733.5,10433,-52.0
LLOYDSENT,2785258.4,12682673,355.35
LLOYDSME,287593.9,448451,55.93
LODHA,3684678.9,1649835,-55.22
LOWVOL,1952.7,318,-83.71
LOWVOL1,107226.1,345417,222.14
LTF,12644007.9,3524054,-72.13
LTIM,357772.3,152446,-57.39
LTTS,95330.1,35739,-62.51
LUMAXIND,32269.8,7402,-77.06
LUMAXTECH,127669.4,208398,63.23
LYKALABS,29084.3,139018,377.98
M&M,2066707.7,4465859,116.09
M&MFIN,4030724.6,6584182,63.35
MADHAV,8349.6,15982,91.41
MAFANG,187332.1,82808,-55.8
MAGNUM,44071.3,166799,278.48
MAHAPEXLTD,6172.6,1495,-75.78
MAHEPC,268221.5,22906,-91.46
MAHESHWARI,13702.1,41463,202.6
MAHKTECH,2978997.5,818861,-72.51
MAHLIFE,396087.4,170090,-57.06
MAHSEAMLES,212080.0,477654,125.22
MAKEINDIA,18934.7,9141,-51.72
MALLCOM,15588.4,5228,-66.46
MALUPAPER,28789.5,10563,-63.31
MANAKCOAT,633737.0,188493,-70.26
MANAKSIA,320547.7,65826,-79.46
MANALIPETC,3487870.8,612418,-82.44
MANCREDIT,35679.9,256776,619.67
MANGALAM,41245.0,16094,-60.98
MANGCHEFER,1174770.7,484397,-58.77
MANINFRA,723133.1,320076,-55.74
MANYAVAR,203687.8,679372,233.54
MARICO,1512862.1,2682787,77.33
MARKSANS,2122441.7,884409,-58.33
MARUTI,225605.6,709783,214.61
MASFIN,249502.6,108040,-56.7
MASPTOP50,361809.5,636105,75.81
MASTEK,671599.2,53167,-92.08
MASTERTR,1103140.7,292007,-73.53
MAXESTATES,214258.6,79011,-63.12
MAXIND,227915.4,73101,-67.93
MAYURUNIQ,82697.7,141804,71.47
MAZDA,95690.7,39762,-58.45
MCL,36910.1,14632,-60.36
MCLEODRUSS,2929081.9,604451,-79.36
MCLOUD,16645027.2,3805717,-77.14
MEDANTA,246718.2,106602,-56.79
MEDIASSIST,253696.8,80133,-68.41
MEDICO,136472.3,50288,-63.15
MEGASTAR,7521.3,2148,-71.44
METROBRAND,195769.5,39006,-80.08
MFSL,751333.6,325620,-56.66
MGEL,2571718.5,792054,-69.2
MHLXMIRU,4217.9,1383,-67.21
MHRIL,310498.1,82474,-73.44
MID150,28099.7,10284,-63.4
MIDCAP,49578.5,97073,95.8
MIDSELIETF,170375.4,1266063,643.1
MIRCELECTR,2706888.6,587834,-78.28
MIRZAINT,599447.6,187636,-68.7
MMTC,1062161.8,426295,-59.87
MOALPHA50,2589.5,1106,-57.29
MOBIKWIK,1701740.0,790359,-53.56
MODISONLTD,135754.1,35830,-73.61
MOKSH,805375.6,76808,-90.46
MOLDTKPAC,235695.6,111938,-52.51
MOLOWVOL,26483.1,253553,857.41
MOMOMENTUM,78398.2,234647,199.3
MON100,650708.1,1268907,95.0
MONARCH,475578.5,198560,-58.25
MONIFTY500,279164.9,5549650,1887.95
MONQ50,91276.9,157937,73.03
MOSCHIP,430501.4,2814261,553.72
MOTILALOFS,1513577.2,699886,-53.76
MOTISONS,3666327.0,1347603,-63.24
MOTOGENFIN,114102.6,16218,-85.79
MOTOUR,5793.4,488,-91.58
MOVALUE,72107.0,229075,217.69
MPSLTD,77223.7,15162,-80.37
MRPL,9807191.6,4210226,-57.07
MSCIINDIA,11576.3,5110,-55.86
MSPL,630343.6,3777650,499.3
MSTCLTD,113648.1,200267,76.22
MTARTECH,45683.5,78416,71.65
MTNL,2430398.4,5274973,117.04
MUKTAARTS,11582.0,3461,-70.12
MUNJALSHOW,69589.7,138986,99.72
MUTHOOTFIN,330338.3,622451,88.43
MUTHOOTMF,554319.6,187659,-66.15
NAGAFERT,802681.88,288234,-64.09
NAGREEKEXP,8144.7,24773,204.16
NARMADA,453426.7,113891,-74.88
NATCAPSUQ,4819.6,13111,172.04
NATCOPHARM,1453452.7,431025,-70.34
NAVA,694812.5,1056962,52.12
NAVINFLUOR,79517.5,1101250,1284.92
NAVKARCORP,3244380.4,1015323,-68.71
NAVNETEDUL,157633.9,349312,121.6
NAZARA,711733.2,271397,-61.87
NCLIND,173220.4,57159,-67.0
NDRAUTO,84249.1,22768,-72.98
NESCO,182280.1,605305,232.07
NETWEB,342081.7,779651,127.91
NETWORK18,10341035.8,3021753,-70.78
NEWGEN,847071.6,239034,-71.78
NEXT30ADD,31454.2,58640,86.43
NEXT50,14042.4,6807,-51.53
NEXTMEDIA,13881.3,6549,-52.82
NGIL,59496.2,10652,-82.1
NIACL,8513872.5,46150949,442.07
NIF100IETF,331857.7,103971,-68.67
NIF10GETF,3424.5,11092,223.9
NIF5GETF,12063.0,3655,-69.7
NIFTY1,99029.9,41481,-58.11
NIFTYBEES,3811813.2,6228908,63.41
NIFTYBETF,2508.1,6688,166.66
NIFTYETF,139474.4,519515,272.48
NIFTYIETF,232200.5,1599768,588.96
NILKAMAL,10237.3,4176,-59.21
NINSYS,6142.4,9689,57.74
NIPPOBATRY,4407.6,966,-78.08
NIRAJ,20443.6,6869,-66.4
NITCO,207944.5,83195,-59.99
NKIND,1045.44,15089,1343.32
NLCINDIA,2480799.3,1053999,-57.51
NPBET,1908.0,412,-78.41
NPST,25157.6,84568,236.15
NUCLEUS,25063.7,836952,3239.3
NURECA,14828.2,38845,161.97
NV20BEES,231784.1,11556,-95.01
NV20IETF,364563.4,727564,99.57
OAL,35818.9,5310,-85.18
OBCL,139928.9,11793,-91.57
OILIETF,1767950.1,9623689,444.34
OLAELEC,99987107.9,32583113,-67.41
OLECTRA,2452059.9,836029,-65.91
OMAXAUTO,1334720.1,3055855,128.95
OMAXE,635117.0,171944,-72.93
OMINFRAL,107193.5,177209,65.32
ONMOBILE,410544.3,204887,-50.09
ORICONENT,359272.5,623145,73.45
ORIENTBELL,9052.4,3399,-62.45
ORIENTCER,255133.55,91166,-64.27
ORIENTHOT,418200.55,126813,-69.68
ORISSAMINE,48980.0,4040,-91.75
ORTINGLOBE,15959.27,50572,216.88
OSWALSEEDS,51948.55,21799,-58.04
PAISALO,21468108.73,6730166,-68.65
PALASHSECU,3254.0,5803,78.33
PANACEABIO,133127.73,342524,157.29
PANAMAPET,27067.55,122468,352.45
PARAGMILK,2053449.55,496392,-75.83
PASHUPATI,6549.18,2912,-55.54
PASUPTAC,62401.18,125642,101.35
PATINTLOG,131361.82,291146,121.64
PDMJEPAPER,92949.64,146896,58.04
PEL,1081989.0,2309370,113.44
PGEL,1361321.91,2267059,66.53
PGHL,17509.91,6996,-60.05
PGIL,95532.64,440546,361.15
PHOENIXLTD,1191728.09,484778,-59.32
PICCADIL,128805.45,215378,67.21
PIIND,118027.91,265735,125.15
PLATIND,402681.27,54606,-86.44
PNB,18827332.27,42679661,126.69
PNBGILTS,3984399.27,1160162,-70.88
PNCINFRA,1249242.55,314378,-74.83
PODDARMENT,5026.36,1688,-66.42
POKARNA,50839.36,395186,677.32
PONNIERODE,33222.55,9955,-70.04
POWERGRID,7522128.27,14283621,89.89
POWERINDIA,124156.45,263034,111.86
PRAKASH,1694880.64,489377,-71.13
PRECWIRE,140128.45,69178,-50.63
PRIMESECU,168749.82,58412,-65.39
PRIMO,480566.45,151048,-68.57
PRITIKAUTO,96843.82,155187,60.24
PROSTARM,3157740.27,1520414,-51.85
PROTEAN,380546.82,176152,-53.71
PROZONER,467706.18,1837455,292.87
PSUBANKADD,182137.09,9220,-94.94
PSUBNKBEES,1711718.82,5606305,227.52
PSUBNKIETF,129234.64,48374,-62.57
PTL,88445.18,34051,-61.5
PUNJABCHEM,312919.73,520887,66.46
PURVA,381365.36,82546,-78.36
PVP,211792.27,86693,-59.07
PVTBANKADD,33715.09,12732,-62.24
QGOLDHALF,95909.18,276988,188.8
QPOWER,2134854.36,578945,-72.88
QUADFUTURE,568701.0,180029,-68.34
QUAL30IETF,126534.09,2549075,1914.54
QUALITY30,12879.38,2793,-78.31
QUICKHEAL,267113.73,127156,-52.4
RACLGEAR,35008.64,6086,-82.62
RADHIKAJWE,5698782.55,1423003,-75.03
RADIANTCMS,277962.82,999543,259.6
RADICO,171964.64,1115600,548.74
RAINBOW,232947.27,100309,-56.94
RAJRATAN,67303.45,30975,-53.98
