SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ADANIPORTS, EQ, 23-Jul-2025,1420.7,1430.0,1438.5,1419.0,1423.3,1420.8,1423.79,740816.0,10547.63,38118.0, 354397, 47.84
ADANIPOWER, EQ, 23-Jul-2025,590.55,592.8,596.2,587.15,589.3,588.95,590.43,1920037.0,11336.42,31568.0, 714564, 37.22
ADFFOODS, EQ, 23-Jul-2025,270.3,274.0,274.9,271.75,274.5,273.7,273.16,48081.0,131.34,1620.0, 22782, 47.38
ADOR, EQ, 23-Jul-2025,1095.7,1095.7,1095.7,1076.8,1084.0,1079.7,1083.11,4639.0,50.25,1112.0, 2430, 52.38
ADROITINFO, EQ, 23-Jul-2025,10.82,11.23,11.5,10.86,11.29,11.19,11.08,194225.0,21.52,741.0, 139863, 72.01
ADSL, EQ, 23-Jul-2025,178.3,178.3,179.0,176.5,177.0,177.58,177.61,67463.0,119.82,1748.0, 33969, 50.35
ADVANIHOTR, EQ, 23-Jul-2025,61.56,61.5,62.23,61.11,61.59,61.43,61.58,38960.0,23.99,798.0, 23371, 59.99
ADVENZYMES, EQ, 23-Jul-2025,339.9,341.0,341.2,330.85,333.5,334.2,334.51,157563.0,527.07,6326.0, 92110, 58.46
AEGISLOG, EQ, 23-Jul-2025,751.9,751.8,758.5,749.45,754.0,753.45,754.6,159980.0,1207.2,9904.0, 74302, 46.44
AEGISVOPAK, EQ, 23-Jul-2025,284.71,284.45,284.45,275.3,277.0,278.27,277.66,882774.0,2451.08,18941.0, 481386, 54.53
AEROENTER, EQ, 23-Jul-2025,108.54,109.0,109.49,106.1,106.26,106.55,107.05,200369.0,214.5,2700.0, 123149, 61.46
AEROFLEX, EQ, 23-Jul-2025,212.87,214.45,217.47,210.01,215.32,215.92,213.36,2214156.0,4724.14,22672.0, 498476, 22.51
AETHER, EQ, 23-Jul-2025,812.45,812.0,816.05,782.75,807.0,807.25,801.71,122365.0,981.01,9964.0, 66630, 54.45
AFCONS, EQ, 23-Jul-2025,427.5,429.6,430.1,422.5,424.8,424.55,425.52,972923.0,4139.99,24782.0, 434135, 44.62
AFFLE, EQ, 23-Jul-2025,1897.3,1900.0,1903.0,1873.7,1879.5,1879.0,1882.52,66751.0,1256.6,8793.0, 32838, 49.19
